target monitor 3.84 0.4, mean: 4.771235347465261, std: 0.693486100187724
target monitor 3.28 0.5, mean: 4.711740465624943, std: 0.7542421562549657
target monitor 2.77 0.6, mean: 4.715819518519189, std: 0.7207897735313414
target norm 3.84 0.4, mean: 8.46136453200681, std: 7.039274943431325
target norm 3.28 0.5, mean: 8.561268360015386, std: 7.079747697119405
target norm 2.77 0.6, mean: 8.457882742487048, std: 7.038702480057405
target cosine 3.84 0.4, mean: 7.821241167654713, std: 8.19336800732594
target cosine 3.28 0.5, mean: 8.147024561950431, std: 8.809223590355602
target cosine 2.77 0.6, mean: 8.099556008120041, std: 8.83448360276908
target krum 3.84 0.4, mean: 7.162867925044111, std: 3.687313071935672
target krum 3.28 0.5, mean: 7.103403378539215, std: 4.299795292967519
target krum 2.77 0.6, mean: 7.813921740215125, std: 5.370727576418047
data monitor 3.84 0.4, mean: 4.636207660008009, std: 0.734290022836755
data monitor 3.28 0.5, mean: 4.640161803495441, std: 0.7351332948710703
data monitor 2.77 0.6, mean: 4.406111586843235, std: 0.8024640788068311
data norm 3.84 0.4, mean: 10.551118695055601, std: 7.999207667514039
data norm 3.28 0.5, mean: 10.214344393444813, std: 8.346459901894738
data norm 2.77 0.6, mean: 10.488472261633449, std: 8.347825436112437
data cosine 3.84 0.4, mean: 7.620431661744351, std: 2.918645289531627
data cosine 3.28 0.5, mean: 7.547716349024008, std: 3.479596664952849
data cosine 2.77 0.6, mean: 7.500957440190091, std: 4.086468165342213
data krum 3.84 0.4, mean: 7.537719998114295, std: 3.094694468453935
data krum 3.28 0.5, mean: 7.496106286253692, std: 3.7310392754143376
data krum 2.77 0.6, mean: 7.484213070745912, std: 3.7143143557806253
model monitor 3.84 0.4, mean: 4.695905438486331, std: 0.8126467234440137
model monitor 3.28 0.5, mean: 4.655199615747162, std: 0.8174708415644087
model monitor 2.77 0.6, mean: 4.664881921995204, std: 0.7752423047006485
model norm 3.84 0.4, mean: 4.635181884361919, std: 0.8157783846753847
model norm 3.28 0.5, mean: 4.715839398326726, std: 0.7823001972712974
model norm 2.77 0.6, mean: 4.628605648168014, std: 0.7199129902509741
model cosine 3.84 0.4, mean: 4.573786783928194, std: 0.7817385726198424
model cosine 3.28 0.5, mean: 4.645423788307894, std: 0.72661054057786
model cosine 2.77 0.6, mean: 4.6789941453086366, std: 0.750323336991805
model krum 3.84 0.4, mean: 4.744102103496807, std: 0.7956343362542694
model krum 3.28 0.5, mean: 4.6407098776263735, std: 0.7892984589190565
model krum 2.77 0.6, mean: 4.669880167325601, std: 0.7664410700754293
